segment_id,index,start_sec,end_sec,duration_sec
dorothy_vowels_join_seg_01,1,0.09,0.73,0.64
dorothy_vowels_join_seg_02,2,1.17,1.79,0.62
dorothy_vowels_join_seg_03,3,2.16,2.88,0.72
dorothy_vowels_join_seg_04,4,3.18,3.75,0.57
dorothy_vowels_join_seg_05,5,4.17,4.84,0.67
dorothy_vowels_join_seg_06,6,5.44,6.15,0.71
dorothy_vowels_join_seg_07,7,6.54,7.16,0.62
dorothy_vowels_join_seg_08,8,7.68,8.31,0.63
dorothy_vowels_join_seg_09,9,8.72,9.32,0.6
dorothy_vowels_join_seg_10,10,9.75,10.27,0.52
dorothy_vowels_join_seg_11,11,11.01,11.57,0.56
dorothy_vowels_join_seg_12,12,12.13,12.77,0.64
dorothy_vowels_join_seg_13,13,13.2,13.83,0.63
dorothy_vowels_join_seg_14,14,14.28,14.93,0.65
dorothy_vowels_join_seg_15,15,15.38,16.01,0.63
dorothy_vowels_join_seg_16,16,16.46,17.05,0.59
dorothy_vowels_join_seg_17,17,17.52,18.13,0.61
dorothy_vowels_join_seg_18,18,18.64,19.2,0.56
dorothy_vowels_join_seg_19,19,19.7,20.41,0.71
dorothy_vowels_join_seg_20,20,20.84,21.5,0.66
dorothy_vowels_join_seg_21,21,21.79,22.47,0.68
dorothy_vowels_join_seg_22,22,22.97,23.63,0.66
